0 1 2 3 4 5 6 7 8
54 98 107 195 241 329 338 339 367
26 101 110 166 184 249 268 326 329
35 90 111 164 185 252 308 314 357
28 81 110 159 167 252 275 336 376
53 103 111 160 168 249 283 362 381
42 104 107 155 187 363 381 414 426
49 88 107 154 186 376 393 401 427
48 92 109 152 159 248 318 390 398
52 96 108 153 160 307 316 339 361
40 100 108 155 166 190 262 310 405
47 87 109 154 164 191 295 328 385
25 103 132 230 311 349 390 423 429
28 78 138 221 322 361 394 421 424
35 95 136 204 330 335 402 420 438
40 75 134 206 359 385 418 423 440
42 83 133 198 288 358 391 429 430
23 79 134 193 226 283 294 320 427
46 72 146 192 222 275 279 312 426
23 85 145 192 220 268 278 304 318
23 105 137 189 224 289 292 301 367
32 72 140 193 225 280 303 308 339
45 72 144 188 227 265 290 299 331
25 104 138 191 209 280 347 374 425
35 100 133 189 197 285 380 386 425
53 86 139 189 202 276 313 325 428
32 100 135 186 200 258 281 412 434
24 99 139 185 214 257 279 340 397
52 73 139 191 200 267 287 368 384
51 82 143 178 227 321 405 416 422
55 106 137 179 216 328 340 352 419
48 96 141 173 218 246 364 431 434
28 103 137 173 227 242 348 371 392
43 76 140 173 220 244 372 382 415
26 84 132 177 212 305 322 375 407
37 102 146 177 201 286 342 373 393
38 91 134 178 209 251 334 340 354
40 94 141 179 201 266 368 377 410
46 80 143 175 207 291 360 369 385
49 99 144 182 196 264 365 372 410
52 88 145 183 197 293 334 344 371
53 93 142 175 209 254 333 376 417
28 79 133 180 195 203 297 370 377
22 76 136 181 195 208 302 315 354
52 105 144 175 180 204 342 390 432
31 84 135 171 223 273 378 409 437
22 97 142 172 219 284 355 418 439
24 74 140 170 212 336 353 363 432
54 95 145 170 215 358 369 399 439
56 105 138 161 186 214 270 282 408
36 74 143 161 183 223 326 330 419
44 102 142 165 182 216 344 357 422
32 99 145 163 177 181 206 400 417
46 106 138 166 169 226 284 353 391
51 79 146 164 170 230 273 319 341
27 73 137 163 172 207 363 378 398
34 98 144 164 172 211 322 325 364
33 86 134 161 165 173 222 243 399
23 84 142 155 188 218 255 267 335
22 72 141 154 189 223 274 300 413
42 78 135 157 185 201 289 356 404
48 102 139 156 193 199 306 358 411
56 82 136 157 193 196 272 311 396
44 104 136 152 158 210 277 325 409
27 81 132 149 182 226 327 351 434
53 83 146 148 183 221 365 389 431
31 101 140 149 178 221 317 368 403
35 97 132 148 179 220 323 345 350
30 91 141 151 167 204 319 346 407
34 82 133 147 160 206 312 327 337
25 76 135 150 153 216 324 369 383
43 78 143 151 152 219 366 380 400
30 87 129 222 310 409 417 421 436
34 101 127 217 344 408 413 420 435
27 88 122 229 277 319 388 424 430
29 106 120 203 303 404 431 438 440
31 98 113 214 269 333 430 433 440
38 97 112 202 253 396 430 432 436
51 77 126 205 278 395 434 435 436
33 81 113 188 228 306 343 360 425
47 101 117 188 229 272 373 383 428
49 78 114 190 230 304 354 406 428
47 85 119 187 219 247 270 337 431
24 92 119 190 228 254 300 323 370
39 73 112 184 228 286 294 315 416
26 87 116 193 213 271 380 392 433
40 90 128 192 210 259 383 392 432
26 75 123 186 202 260 357 370 415
27 85 118 185 213 256 321 374 413
30 80 118 186 199 250 315 348 389
30 90 113 187 215 297 326 372 384
32 83 128 184 211 296 335 352 406
33 93 121 194 210 281 337 350 403
37 86 116 195 207 247 317 345 412
37 96 125 194 198 282 321 328 402
41 75 131 187 211 302 351 371 397
44 105 120 190 215 256 312 317 395
45 74 123 191 205 296 320 350 404
48 93 122 195 212 298 352 405 408
36 93 124 176 226 257 346 386 414
37 81 114 174 223 287 359 381 396
39 104 115 183 224 266 309 327 415
41 79 121 174 216 305 310 313 366
42 92 117 182 225 251 330 348 379
50 98 114 179 222 293 347 379 416
54 87 124 178 218 264 309 323 356
22 90 125 176 221 291 332 349 411
29 89 126 176 196 313 329 334 378
29 100 117 175 208 309 341 375 387
47 77 130 174 197 338 353 410 411
56 77 115 177 203 314 355 360 379
43 84 130 180 194 217 250 347 397
46 103 126 181 194 229 260 356 384
45 92 127 174 181 224 346 361 433
34 94 123 169 225 366 388 399 437
44 73 125 169 220 341 362 401 433
45 89 112 165 187 230 258 298 402
41 91 120 163 188 198 271 382 394
50 80 122 162 189 205 259 311 382
39 85 129 162 176 180 225 324 359
24 83 121 162 171 227 316 355 401
38 95 118 166 171 224 343 349 364
29 97 130 159 161 168 213 290 406
31 77 128 160 165 167 208 301 374
51 94 119 158 163 168 199 269 386
54 106 131 158 162 167 200 253 373
25 88 124 156 184 219 299 377 395
36 96 131 157 192 228 276 375 388
55 89 115 156 192 217 285 333 394
49 74 116 153 158 217 288 343 418
50 75 127 150 168 218 332 342 391
55 95 129 147 159 229 320 365 412
53 69 135 271 297 318 353 416 420
55 68 140 270 286 325 346 387 423
23 68 143 252 281 302 307 410 430
24 66 136 245 249 293 385 394 434
45 71 133 246 268 291 340 393 409
51 71 138 241 248 276 335 359 372
44 69 141 233 320 329 360 397 429
28 67 139 234 278 309 402 418 437
49 69 137 236 280 332 337 375 436
31 65 145 231 290 311 328 370 414
35 70 134 239 250 361 363 373 395
36 66 144 232 260 310 345 358 374
38 65 146 240 267 324 351 380 408
39 66 142 237 282 319 338 392 404
47 71 132 238 289 315 316 333 399
30 65 115 339 350 391 398 422 428
34 70 112 262 356 376 382 411 419
48 68 123 256 334 355 381 383 421
37 69 128 251 265 386 415 424 439
54 68 125 279 305 348 406 425 435
43 66 117 269 287 312 349 352 427
26 70 114 257 277 301 331 369 431
50 68 116 254 273 299 327 384 438
52 69 118 272 275 298 323 366 440
27 67 121 285 295 303 326 342 354
32 70 113 263 266 284 313 321 390
33 66 127 253 304 308 377 378 389
40 65 126 247 292 306 322 330 401
42 67 130 259 261 294 317 364 417
56 70 129 255 288 300 341 371 403
22 65 120 258 264 283 336 347 388
29 71 122 242 343 357 368 400 426
25 67 131 243 274 314 365 405 433
46 67 119 244 296 344 367 396 407
41 71 124 235 362 379 412 413 432
