0 1 2 3
0 4 5 6
0 8 10 12
0 7 9 11
1 13 14 15
1 23 26 27
1 22 24 25
2 18 32 36
3 20 34 39
3 21 35 38
2 19 33 37
3 17 30 31
2 16 28 29
4 13 16 17
4 23 32 35
4 22 33 34
6 15 36 39
5 14 37 38
5 18 24 30
6 21 25 29
6 19 26 31
5 20 27 28
8 13 18 21
7 13 19 20
7 22 36 38
8 23 37 39
8 22 28 31
7 23 29 30
9 14 31 32
10 15 30 33
11 15 28 35
12 14 29 34
11 18 26 34
10 20 25 32
12 19 24 35
9 21 27 33
12 17 27 36
10 16 26 38
11 17 25 37
9 16 24 39
