0 1 2 3 4 5 6 7 8 9
22 173 198 259 308 328 362 382 427 593
20 170 219 256 312 352 371 431 448 591
21 168 220 258 310 354 370 432 450 589
19 169 221 257 311 353 372 430 449 590
20 151 223 259 304 342 359 421 446 601
21 150 222 260 305 341 358 423 445 603
19 152 224 261 306 340 360 422 447 602
23 147 207 257 304 316 364 389 425 612
24 149 208 256 305 318 365 390 424 610
22 148 209 258 306 317 366 388 426 611
20 165 192 202 261 319 414 416 451 600
21 167 194 201 259 320 413 417 453 598
19 166 193 203 260 321 412 415 452 599
24 160 193 214 258 313 326 397 409 608
23 161 194 215 256 314 325 398 410 607
22 159 192 213 257 315 327 399 411 609
26 80 237 285 311 390 403 454 464 507
27 79 239 284 310 389 404 455 465 505
25 81 238 283 312 388 405 456 463 506
28 74 240 281 305 362 408 418 460 481
29 74 242 280 306 363 406 420 461 482
30 74 241 282 304 361 407 419 462 483
68 75 251 256 512 526 535 540 569 572
69 75 250 257 511 527 537 539 568 571
67 75 249 258 513 528 536 538 570 573
71 75 244 261 515 517 544 547 576 578
72 75 243 260 516 519 545 548 574 577
70 75 245 259 514 518 546 549 575 579
64 80 211 268 335 341 344 352 470 566
65 81 212 270 334 340 345 354 469 567
66 79 210 269 336 342 343 353 471 565
62 81 222 302 328 347 372 384 490 560
63 79 224 301 329 348 371 382 491 559
61 80 223 303 330 346 370 383 492 561
58 77 204 278 313 327 337 359 472 551
59 78 206 279 315 325 339 358 474 552
60 76 205 277 314 326 338 360 473 550
56 74 228 273 355 378 398 451 498 542
57 74 230 272 356 376 399 452 496 541
55 74 229 271 357 377 397 453 497 543
53 77 208 296 324 373 379 449 478 563
54 76 207 297 322 374 380 450 479 562
52 78 209 295 323 375 381 448 480 564
49 81 226 298 316 320 385 416 466 554
50 79 225 299 318 321 387 417 467 553
51 80 227 300 317 319 386 415 468 555
47 77 217 274 331 368 434 447 495 558
48 78 216 275 332 367 433 446 494 557
46 76 218 276 333 369 435 445 493 556
43 78 220 292 308 365 395 457 476 508
44 76 221 294 307 366 394 458 477 509
45 77 219 293 309 364 396 459 475 510
41 77 198 263 410 412 432 485 503 529
42 76 199 262 411 413 431 486 502 530
40 78 200 264 409 414 430 484 504 531
38 79 197 265 393 402 442 488 501 525
39 81 195 267 391 401 443 489 499 524
37 80 196 266 392 400 444 487 500 523
35 76 202 233 246 291 351 424 427 441
36 77 201 232 248 289 350 426 429 439
34 78 203 231 247 290 349 425 428 440
32 79 192 214 235 286 423 437 521 533
33 80 194 213 234 288 422 436 520 534
31 81 193 215 236 287 421 438 522 532
36 113 143 242 348 492 516 531 580 584
34 111 141 241 346 490 515 530 582 583
35 112 142 240 347 491 514 529 581 585
65 133 141 242 309 417 474 509 613 634
66 132 142 241 308 415 473 510 615 636
64 134 143 240 307 416 472 508 614 635
62 131 138 209 331 390 497 565 599 634
63 130 140 207 332 388 496 566 600 636
61 129 139 208 333 389 498 567 598 635
29 115 139 217 332 427 487 539 583 638
30 114 138 216 333 429 489 540 585 637
28 116 140 218 331 428 488 538 584 639
59 100 138 199 376 436 472 527 559 606
60 101 140 198 378 438 474 526 561 604
58 99 139 200 377 437 473 528 560 605
40 90 140 208 342 347 477 527 555 589
41 91 138 207 340 346 476 528 553 591
42 92 139 209 341 348 475 526 554 590
37 126 142 218 313 417 463 547 557 590
38 128 141 216 314 416 464 548 558 589
39 127 143 217 315 415 465 549 556 591
32 104 143 198 390 407 463 537 562 602
33 103 141 200 388 408 465 535 563 601
31 102 142 199 389 406 464 536 564 603
56 124 142 211 232 340 402 539 552 601
57 123 141 210 233 341 401 538 551 602
55 125 143 212 231 342 400 540 550 603
53 110 142 213 247 401 450 497 516 604
54 108 141 214 248 400 448 498 514 606
52 109 143 215 246 402 449 496 515 605
50 121 139 227 231 312 376 529 548 631
51 120 138 226 233 310 378 531 547 633
49 122 140 225 232 311 377 530 549 632
44 135 138 192 215 408 487 510 577 632
45 137 140 194 214 406 489 508 578 631
43 136 139 193 213 407 488 509 579 633
35 96 186 287 423 426 428 520 591 619
36 98 187 286 422 425 427 522 589 621
34 97 188 288 421 424 429 521 590 620
32 93 189 289 351 436 440 532 587 636
33 95 191 290 350 438 441 533 586 635
31 94 190 291 349 437 439 534 588 634
25 97 189 274 336 378 413 457 574 605
26 98 190 276 334 376 414 459 575 604
27 96 191 275 335 377 412 458 576 606
61 94 187 299 338 381 401 460 511 600
62 93 188 300 337 380 402 461 512 598
63 95 186 298 339 379 400 462 513 599
55 98 188 268 367 404 410 509 517 615
56 96 187 269 368 405 411 508 519 613
57 97 186 270 369 403 409 510 518 614
47 93 186 283 343 365 451 516 530 612
48 95 187 284 344 366 453 515 529 610
46 94 188 285 345 364 452 514 531 611
41 93 190 294 341 357 446 505 578 609
42 94 191 292 342 355 447 506 577 608
40 95 189 293 340 356 445 507 579 607
29 96 189 278 319 372 450 525 540 596
30 98 191 279 320 371 449 523 538 595
28 97 190 277 321 370 448 524 539 597
50 96 188 303 326 375 391 408 537 628
51 98 186 302 327 374 393 406 535 630
49 97 187 301 325 373 392 407 536 629
38 95 190 297 313 328 363 386 572 632
39 93 191 295 314 330 362 387 571 633
37 94 189 296 315 329 361 385 573 631
68 133 185 239 289 326 347 392 399 476
69 134 183 238 291 325 346 393 397 475
67 132 184 237 290 327 348 391 398 477
71 99 180 242 298 353 381 432 436 493
72 101 181 240 300 354 379 431 437 494
70 100 182 241 299 352 380 430 438 495
68 129 183 225 287 322 344 434 483 531
69 130 184 226 288 323 343 435 482 529
67 131 185 227 286 324 345 433 481 530
71 123 183 212 296 332 386 418 486 521
72 125 184 211 297 331 387 419 484 522
70 124 185 210 295 333 385 420 485 520
71 118 185 223 271 358 405 441 488 510
72 117 183 224 273 359 403 440 489 509
70 119 184 222 272 360 404 439 487 508
68 108 180 206 293 383 427 442 497 506
69 109 181 204 294 382 428 443 498 507
67 110 182 205 292 384 429 444 496 505
68 106 182 218 280 336 412 416 480 534
69 107 180 216 281 334 413 415 478 533
67 105 181 217 282 335 414 417 479 532
71 103 182 228 278 390 394 425 491 524
72 104 180 230 277 389 395 426 490 523
70 102 181 229 279 388 396 424 492 525
72 90 182 197 233 303 315 453 456 459
70 91 180 195 231 301 313 451 454 458
71 92 181 196 232 302 314 452 455 457
69 137 185 200 236 268 318 447 450 462
67 135 183 198 234 269 316 445 448 461
68 136 184 199 235 270 317 446 449 460
41 119 156 250 282 464 506 521 580 618
42 118 158 249 280 465 507 522 581 617
40 117 157 251 281 463 505 520 582 616
38 101 146 245 288 361 394 476 617 638
39 100 145 244 286 363 395 475 616 639
37 99 144 243 287 362 396 477 618 637
26 112 157 243 275 316 360 488 563 587
27 111 156 245 274 317 358 489 562 588
25 113 158 244 276 318 359 487 564 586
65 90 150 244 288 371 434 473 541 596
66 92 152 245 287 370 433 472 542 595
64 91 151 243 286 372 435 474 543 597
52 116 166 251 268 396 411 491 567 588
53 114 167 250 269 394 409 490 566 586
54 115 165 249 270 395 410 492 565 587
44 137 151 249 300 350 381 463 541 592
45 136 150 250 298 349 380 465 542 593
43 135 152 251 299 351 379 464 543 594
53 127 151 237 291 306 457 467 569 606
54 126 152 239 290 305 459 466 568 605
52 128 150 238 289 304 458 468 570 604
54 106 167 238 272 311 329 494 619 633
53 105 166 239 273 312 330 493 621 632
52 107 165 237 271 310 328 495 620 631
59 123 167 251 266 451 473 503 522 611
60 124 166 249 267 453 472 504 521 612
58 125 165 250 265 452 474 502 520 610
35 122 160 242 267 446 495 500 568 607
36 121 159 241 265 445 494 499 569 608
34 120 161 240 266 447 493 501 570 609
50 109 145 245 266 316 350 497 502 630
51 108 146 243 267 318 349 496 503 629
49 110 144 244 265 317 351 498 504 628
29 134 174 239 264 421 454 502 538 623
30 133 176 237 262 423 456 503 539 624
28 132 175 238 263 422 455 504 540 622
59 130 171 239 255 300 368 524 579 580
60 129 172 237 255 298 367 525 577 582
58 131 173 238 255 299 369 523 578 581
29 120 178 248 254 299 334 358 477 612
30 122 177 247 254 300 336 360 475 610
28 121 179 246 254 298 335 359 476 611
62 106 178 231 244 282 370 411 563 607
63 105 177 233 245 281 372 410 564 608
61 107 179 232 243 280 371 409 562 609
47 132 170 233 250 275 363 392 567 592
48 134 168 232 251 276 361 391 565 593
46 133 169 231 249 274 362 393 566 594
26 114 155 236 242 284 308 431 573 628
27 115 154 234 240 283 309 430 572 629
25 116 153 235 241 285 307 432 571 630
60 103 174 227 293 419 471 564 609 619
59 104 175 225 294 420 469 563 608 620
58 102 176 226 292 418 470 562 607 621
56 104 162 227 291 430 466 517 617 637
57 102 164 225 290 432 468 519 616 638
55 103 163 226 289 431 467 518 618 639
46 100 146 223 284 398 478 560 602 619
47 101 144 222 285 397 480 559 601 621
48 99 145 224 283 399 479 561 603 620
44 110 154 212 279 321 482 558 593 619
45 109 155 210 277 319 483 557 594 621
43 108 153 211 278 320 481 556 592 620
31 107 169 205 273 339 485 512 583 639
