0 1 2
0 3 4
0 5 8
0 6 10
0 7 9
1 11 12
2 13 17
2 14 26
2 16 24
2 15 25
1 18 23
1 20 21
1 19 22
3 11 13
4 12 17
4 14 23
4 16 21
4 15 22
3 18 26
3 20 24
3 19 25
5 11 14
6 11 16
7 11 15
5 22 24
5 21 25
6 23 25
7 23 24
6 22 26
7 21 26
5 17 18
6 17 20
7 17 19
8 13 23
10 13 21
9 13 22
8 12 26
10 12 24
9 12 25
8 16 19
8 15 20
10 14 19
9 14 20
10 15 18
9 16 18
