0 1 2 3 4 5
113 3512 3639 3720 3736 3863
114 3513 3646 3728 3745 3870
115 3514 3647 3729 3744 3871
116 3515 3649 3722 3740 3869
117 3516 3648 3721 3739 3868
118 3517 3644 3724 3738 3873
119 3518 3645 3723 3737 3872
120 3519 3642 3725 3743 3867
121 3520 3643 3727 3741 3866
122 3521 3641 3726 3742 3865
92 3586 3618 3682 3698 3842
95 3588 3621 3683 3701 3843
93 3589 3620 3685 3700 3845
94 3587 3619 3684 3699 3844
107 3590 3622 3688 3704 3847
96 3591 3623 3687 3703 3848
97 3592 3624 3686 3702 3846
98 3593 3631 3692 3708 3852
99 3594 3630 3691 3707 3853
100 3595 3633 3696 3706 3856
101 3596 3632 3697 3705 3857
102 3597 3627 3695 3709 3849
103 3598 3625 3693 3711 3850
104 3599 3626 3694 3710 3851
105 3600 3628 3689 3713 3854
106 3601 3629 3690 3712 3855
71 1135 2852 3010 3205 3219
56 1136 2853 3012 3204 3220
57 1137 2850 3011 3203 3221
58 1138 2854 3019 3210 3231
59 1139 2855 3018 3211 3232
60 1140 2856 3017 3209 3233
61 1141 2865 3021 3215 3228
62 1142 2864 3022 3217 3229
63 1143 2863 3020 3216 3230
64 1144 2860 3025 3212 3225
65 1145 2861 3024 3214 3226
66 1146 2862 3023 3213 3227
67 1147 2857 3014 3206 3224
68 1148 2859 3016 3208 3222
69 1149 2858 3015 3207 3223
70 1134 2851 3013 3202 3218
57 1311 2739 2963 3139 3186
56 1312 2740 2965 3138 3187
70 1313 2741 2964 3140 3189
59 1314 2745 2975 3152 3198
60 1315 2746 2976 3153 3197
58 1316 2747 2977 3151 3196
67 1317 2748 2969 3145 3201
68 1318 2750 2970 3146 3200
69 1319 2749 2971 3147 3199
62 1320 2751 2972 3149 3195
63 1321 2752 2973 3150 3194
61 1322 2753 2974 3148 3193
64 1323 2744 2968 3142 3190
65 1324 2742 2966 3144 3192
66 1325 2743 2967 3143 3191
71 1310 2738 2962 3141 3188
124 1294 2866 2978 3090 3410
127 1296 2869 2980 3091 3413
125 1297 2868 2979 3093 3411
126 1295 2867 2981 3092 3412
139 1298 2871 2984 3096 3416
128 1299 2870 2982 3094 3414
129 1300 2872 2983 3095 3415
138 1301 2874 2987 3102 3425
137 1302 2873 2988 3103 3424
130 1303 2880 2986 3100 3419
131 1304 2881 2985 3101 3420
135 1305 2878 2992 3099 3421
134 1306 2879 2991 3098 3422
136 1307 2877 2993 3097 3423
132 1308 2876 2990 3104 3418
133 1309 2875 2989 3105 3417
140 1278 2834 2930 3058 3394
142 1280 2836 2931 3061 3396
143 1281 2837 2933 3060 3397
141 1279 2835 2932 3059 3395
155 1282 2838 2934 3064 3398
144 1283 2840 2935 3062 3400
145 1284 2839 2936 3063 3399
150 1285 2843 2945 3066 3406
151 1286 2844 2944 3065 3407
152 1287 2847 2938 3072 3404
153 1288 2848 2939 3073 3403
154 1289 2849 2937 3071 3405
146 1290 2841 2941 3070 3409
147 1291 2842 2940 3069 3408
149 1292 2846 2943 3068 3402
148 1293 2845 2942 3067 3401
140 1262 2770 3266 3298 3474
141 1264 2772 3268 3300 3476
142 1265 2773 3269 3301 3477
143 1263 2771 3267 3299 3475
145 1266 2774 3271 3304 3478
155 1267 2775 3272 3302 3479
144 1268 2776 3270 3303 3480
151 1269 2777 3280 3306 3484
150 1270 2778 3281 3305 3485
148 1271 2784 3274 3313 3487
149 1272 2785 3273 3312 3486
152 1273 2780 3278 3307 3481
153 1274 2781 3277 3308 3482
154 1275 2779 3279 3309 3483
146 1276 2783 3276 3311 3489
147 1277 2782 3275 3310 3488
124 1246 2754 3170 3346 3490
126 1248 2756 3171 3348 3492
127 1249 2757 3172 3349 3491
125 1247 2755 3173 3347 3493
139 1250 2760 3175 3350 3494
129 1251 2759 3176 3352 3495
128 1252 2758 3174 3351 3496
138 1253 2765 3180 3353 3497
137 1254 2764 3179 3354 3498
133 1255 2768 3178 3361 3504
132 1256 2769 3177 3360 3505
134 1257 2761 3184 3355 3500
135 1258 2762 3185 3357 3499
136 1259 2763 3183 3356 3501
131 1260 2767 3182 3359 3503
130 1261 2766 3181 3358 3502
108 1230 2914 2994 3042 3362
111 1232 2917 2996 3045 3363
109 1233 2916 2997 3043 3364
110 1231 2915 2995 3044 3365
123 1234 2918 3000 3048 3368
113 1235 2919 2998 3046 3366
112 1236 2920 2999 3047 3367
114 1237 2922 3008 3053 3373
115 1238 2921 3009 3054 3374
117 1239 2928 3006 3050 3370
116 1240 2929 3007 3049 3369
122 1241 2924 3003 3056 3376
121 1242 2925 3001 3055 3377
120 1243 2923 3002 3057 3375
118 1244 2927 3005 3052 3372
119 1245 2926 3004 3051 3371
108 1214 2898 3074 3282 3378
111 1216 2900 3077 3285 3381
109 1217 2901 3075 3283 3379
110 1215 2899 3076 3284 3380
113 1218 2903 3078 3286 3384
112 1219 2902 3080 3288 3382
123 1220 2904 3079 3287 3383
115 1221 2906 3086 3292 3386
114 1222 2905 3087 3291 3385
121 1223 2910 3082 3293 3392
120 1224 2909 3081 3295 3393
122 1225 2911 3083 3294 3391
116 1226 2912 3085 3290 3389
117 1227 2913 3084 3289 3390
119 1228 2907 3089 3297 3388
118 1229 2908 3088 3296 3387
78 1199 3251 3317 3331 3429
79 1200 3250 3315 3332 3426
76 1201 3252 3316 3333 3427
77 1198 3253 3314 3330 3428
85 1202 3260 3323 3338 3430
87 1203 3261 3322 3339 3432
86 1204 3262 3321 3337 3431
84 1205 3259 3318 3335 3436
82 1206 3258 3320 3336 3437
83 1207 3257 3319 3334 3438
91 1208 3254 3327 3342 3439
80 1209 3255 3329 3341 3440
81 1210 3256 3328 3340 3441
90 1211 3265 3324 3343 3433
88 1212 3263 3326 3345 3435
89 1213 3264 3325 3344 3434
77 1183 2949 3123 3156 3461
78 1184 2948 3124 3157 3458
79 1185 2947 3125 3154 3459
76 1182 2946 3122 3155 3460
84 1186 2958 3128 3164 3469
82 1187 2957 3127 3165 3470
83 1188 2956 3126 3166 3468
90 1189 2952 3132 3169 3464
88 1190 2951 3134 3168 3463
89 1191 2950 3133 3167 3462
85 1192 2955 3135 3160 3465
86 1193 2954 3137 3159 3466
87 1194 2953 3136 3158 3467
81 1195 2959 3129 3163 3473
80 1196 2961 3131 3161 3471
91 1197 2960 3130 3162 3472
78 1167 2786 2820 3108 3442
76 1168 2788 2818 3106 3444
77 1169 2789 2819 3107 3445
79 1166 2787 2821 3109 3443
86 1170 2793 2824 3119 3451
87 1171 2794 2823 3121 3450
85 1172 2795 2822 3120 3449
84 1173 2798 2830 3110 3455
83 1174 2797 2829 3111 3457
82 1175 2796 2828 3112 3456
88 1176 2792 2827 3116 3454
90 1177 2791 2826 3118 3453
89 1178 2790 2825 3117 3452
91 1179 2799 2833 3115 3446
80 1180 2801 2831 3113 3448
81 1181 2800 2832 3114 3447
72 1151 2805 2884 3026 3237
72 1152 2804 2885 3028 3236
72 1153 2803 2882 3029 3235
73 1154 2808 2893 3033 3243
74 1155 2806 2892 3034 3241
75 1156 2807 2894 3035 3242
73 1157 2815 2890 3038 3244
74 1158 2817 2889 3037 3246
75 1159 2816 2891 3036 3245
74 1160 2812 2896 3041 3249
73 1161 2813 2897 3040 3248
75 1162 2814 2895 3039 3247
