0 1 2 3 4
0 5 6 7 8
0 9 12 13 14
0 11 17 19 20
0 10 15 16 18
1 21 22 23 24
1 38 43 45 47
1 39 41 42 46
1 37 40 44 48
2 29 60 66 79
2 30 63 69 82
3 31 62 73 78
2 32 68 70 81
4 33 67 75 76
3 34 58 61 84
4 35 59 64 80
4 36 71 72 83
3 28 65 74 77
2 26 49 51 53
4 27 52 54 57
3 25 50 55 56
5 85 86 87 88
5 99 102 103 107
5 100 101 106 108
5 98 104 105 109
8 137 138 141 148
6 139 142 143 146
7 140 144 145 147
8 90 112 115 129
8 91 113 121 133
6 92 114 125 135
7 93 110 122 131
8 94 111 127 136
6 95 118 119 130
7 96 116 120 132
7 97 123 124 128
6 89 117 126 134
9 149 152 153 154
11 150 155 158 159
10 151 156 157 160
9 189 191 193 215
9 188 190 192 216
11 194 202 203 219
10 195 198 200 217
10 196 199 204 220
11 197 201 205 218
9 206 207 208 221
10 209 212 214 222
11 210 211 213 223
12 305 314 315 332
14 307 316 318 334
13 306 317 319 333
20 308 329 330 336
15 309 323 324 339
16 310 325 331 340
17 311 322 326 335
18 312 321 327 338
19 313 320 328 337
12 170 251 269 287
12 171 252 270 288
14 173 256 272 291
13 174 253 273 290
14 175 255 271 289
13 172 254 274 292
20 176 266 280 303
18 177 260 286 301
17 178 265 283 304
15 179 261 276 294
17 180 257 277 300
18 181 268 281 298
19 182 263 278 293
15 183 259 284 296
16 184 267 285 295
16 185 262 279 297
19 186 258 275 302
20 187 264 282 299
12 161 224 225 242
14 163 228 229 243
13 162 226 227 244
20 164 231 235 249
15 165 230 236 248
18 166 237 238 245
16 167 232 240 246
17 168 239 241 247
19 169 233 234 250
21 341 342 343 344
21 357 358 359 366
21 360 361 364 367
21 362 363 365 368
23 574 583 592 594
22 573 582 591 593
23 575 585 595 608
23 577 590 601 607
24 576 584 596 600
24 578 586 602 604
24 579 587 603 606
22 580 588 597 599
22 581 589 598 605
24 561 564 565 566
23 563 569 571 572
22 562 567 568 570
77 1303 1316 1328 1358
78 1306 1308 1324 1364
79 1307 1310 1327 1361
80 1311 1313 1321 1360
81 1305 1312 1323 1357
82 1315 1318 1320 1356
83 1304 1314 1322 1362
84 1302 1317 1325 1359
76 1309 1319 1326 1363
61 1222 1251 1269 1332
58 1221 1249 1266 1330
59 1223 1248 1267 1331
60 1224 1250 1268 1329
62 1238 1253 1272 1334
63 1227 1261 1276 1341
64 1232 1260 1278 1344
65 1230 1258 1274 1343
66 1233 1259 1275 1339
67 1237 1262 1280 1337
68 1226 1265 1270 1333
69 1234 1257 1282 1345
70 1236 1255 1279 1338
71 1225 1252 1273 1346
72 1229 1263 1277 1340
73 1235 1254 1271 1335
74 1231 1256 1281 1336
75 1228 1264 1283 1342
51 1241 1285 1289 1349
49 1239 1284 1286 1348
50 1240 1287 1288 1347
52 1243 1293 1301 1351
53 1246 1294 1297 1354
54 1247 1299 1300 1352
55 1242 1291 1292 1355
56 1245 1295 1296 1353
57 1244 1290 1298 1350
81 508 1118 1190 1208
76 507 1115 1186 1204
77 509 1114 1187 1205
78 510 1113 1188 1206
79 511 1116 1185 1207
80 512 1117 1189 1203
77 513 1128 1195 1213
78 518 1129 1201 1219
79 519 1124 1198 1220
80 524 1121 1193 1209
81 515 1122 1191 1216
82 520 1119 1194 1211
82 523 1126 1196 1217
83 516 1120 1202 1212
83 522 1127 1199 1215
84 514 1125 1192 1210
84 521 1130 1197 1214
76 517 1123 1200 1218
65 544 1062 1098 1134
62 543 1060 1095 1132
63 545 1059 1096 1133
64 546 1061 1097 1131
59 553 1074 1110 1148
60 558 1070 1111 1143
61 551 1063 1101 1136
66 557 1072 1105 1144
67 548 1068 1100 1137
68 549 1073 1103 1138
69 559 1069 1107 1141
70 547 1065 1102 1146
71 550 1075 1112 1139
72 552 1067 1106 1147
73 555 1076 1104 1140
74 560 1064 1099 1135
75 554 1066 1109 1142
58 556 1071 1108 1145
43 526 1080 1152 1170
40 525 1079 1149 1167
41 527 1078 1150 1168
42 528 1077 1151 1169
41 540 1092 1159 1177
42 533 1089 1163 1183
43 534 1093 1157 1181
44 531 1088 1161 1179
44 532 1086 1162 1175
45 530 1094 1154 1174
45 536 1085 1166 1176
46 542 1082 1156 1173
46 535 1084 1164 1178
47 529 1090 1153 1171
47 537 1083 1165 1184
48 539 1087 1158 1182
48 541 1091 1160 1180
40 538 1081 1155 1172
69 480 981 1017 1035
66 481 978 1014 1034
67 482 979 1015 1033
68 483 980 1016 1032
59 484 983 1018 1041
60 489 994 1022 1044
61 487 993 1024 1046
62 494 990 1025 1038
63 486 982 1020 1049
64 496 986 1023 1042
65 491 987 1030 1043
70 497 992 1026 1047
71 495 995 1029 1040
72 485 988 1019 1036
73 493 989 1027 1039
74 488 991 1031 1048
75 492 984 1021 1037
58 490 985 1028 1045
46 498 1000 1001 1052
44 499 997 998 1050
45 500 996 999 1051
41 501 1002 1007 1054
42 505 1010 1012 1056
43 504 1003 1005 1053
47 503 1009 1011 1057
48 502 1004 1013 1055
40 506 1006 1008 1058
38 445 943 946 947
37 444 942 944 945
38 448 953 957 958
39 446 949 951 959
39 449 952 954 955
37 447 948 950 956
38 477 897 898 905
39 478 900 902 904
37 479 899 901 903
75 464 880 911 965
70 459 879 908 962
71 460 881 907 963
72 461 882 906 964
73 462 883 909 961
74 463 884 910 960
59 473 894 918 973
60 469 885 923 969
61 471 891 917 974
62 474 889 922 975
63 475 895 919 972
64 468 893 915 967
65 467 886 914 971
66 466 887 920 968
67 476 892 916 970
68 472 890 921 976
69 465 896 913 966
58 470 888 912 977
53 450 871 926 927
52 451 870 924 925
50 457 878 932 939
51 452 872 930 936
54 458 873 928 929
55 453 877 934 935
56 456 875 931 937
57 454 874 933 940
49 455 876 938 941
57 417 819 837 855
54 418 816 836 852
55 419 817 835 853
56 420 818 834 854
50 421 822 851 859
50 430 829 846 860
51 425 831 844 862
51 433 832 845 866
52 427 825 849 863
52 434 823 850 865
53 431 827 841 861
53 422 833 838 856
54 424 828 843 867
55 428 826 847 864
56 423 820 842 857
57 426 824 848 868
49 429 821 839 858
49 432 830 840 869
48 436 790 799 801
47 435 789 798 800
41 439 794 807 815
42 438 792 803 806
43 442 793 808 809
44 437 791 802 810
45 441 797 812 814
46 443 795 805 813
40 440 796 804 811
39 405 780 781 782
38 406 783 784 787
37 407 785 786 788
84 408 757 758 773
82 409 753 754 772
83 410 755 756 771
77 413 764 768 776
78 416 759 761 774
79 411 760 762 779
80 415 765 766 777
81 414 767 769 778
76 412 763 770 775
31 657 673 720 738
28 654 672 718 736
29 655 674 717 737
30 656 675 719 735
29 668 679 731 752
30 670 687 728 749
31 662 681 727 748
32 669 678 732 745
32 666 680 733 751
33 659 677 723 750
33 671 684 724 743
34 661 689 722 741
34 665 682 725 742
35 667 686 726 747
35 663 688 729 746
36 658 676 734 740
36 664 683 730 744
28 660 685 721 739
34 645 694 695 710
32 646 691 692 708
33 647 690 693 709
29 650 703 704 716
30 648 697 702 713
31 653 696 698 711
35 649 699 705 712
36 652 701 707 715
28 651 700 706 714
27 609 614 629 638
25 610 611 627 637
26 612 613 628 636
26 615 622 631 639
26 621 623 633 643
27 616 617 630 644
27 624 625 632 641
25 618 619 634 640
25 620 626 635 642
36 348 379 389 390
35 349 378 387 388
29 356 380 392 393
30 351 385 399 402
31 352 383 401 403
32 350 381 391 404
33 355 382 398 400
34 354 384 394 396
28 353 386 395 397
26 346 372 375 376
27 345 370 371 374
25 347 369 373 377
85 341 345 346 347
85 406 408 411 412
85 407 413 414 415
85 405 409 410 416
147 342 1357 1359 1362
148 343 1360 1361 1364
146 344 1356 1358 1363
87 792 873 1222 1226
86 791 872 1221 1225
87 796 875 1227 1237
87 789 871 1223 1238
88 790 870 1224 1235
88 795 876 1228 1230
88 797 877 1229 1236
86 793 874 1231 1234
86 794 878 1232 1233
88 562 645 648 649
87 563 650 651 652
86 561 646 647 653
148 636 784 1212 1213
146 639 780 1209 1210
147 640 783 1203 1211
147 643 785 1218 1219
147 644 781 1205 1207
148 641 786 1214 1217
148 637 782 1204 1216
146 638 787 1206 1208
146 642 788 1215 1220
130 357 775 1194 1195
128 360 771 1191 1192
129 361 774 1185 1193
131 359 773 1190 1202
132 362 778 1197 1199
133 358 779 1188 1189
134 365 776 1196 1200
135 364 772 1186 1187
136 363 777 1198 1201
107 367 627 630 631
108 368 632 633 635
109 366 628 629 634
100 961 969 1055 1351
