0 1 2 3 4
37 406 780 786 787
66 408 755 766 767
64 409 753 763 764
65 410 754 762 765
59 414 759 769 778
60 413 757 768 772
61 411 760 774 779
62 412 758 775 777
63 415 761 770 771
58 416 756 773 776
31 654 693 711 729
28 655 690 710 726
29 656 691 709 727
30 657 692 708 728
29 671 699 715 739
30 668 700 714 736
31 662 696 722 734
32 660 698 719 735
32 661 694 716 738
33 667 706 723 733
33 669 705 720 731
34 664 702 712 742
34 665 703 713 740
35 658 704 721 737
35 670 695 718 743
36 666 701 724 732
36 663 697 717 730
28 659 707 725 741
34 645 676 677 746
32 646 672 673 745
33 647 674 675 744
29 649 681 689 750
30 648 684 687 749
31 651 678 686 751
35 653 680 688 748
36 650 682 685 747
28 652 679 683 752
26 609 620 621 637
25 610 618 619 636
26 611 628 634 640
26 612 627 631 643
27 614 625 630 644
27 616 623 633 639
27 617 622 632 641
25 613 626 635 642
25 615 624 629 638
36 348 380 381 397
35 349 378 379 396
29 353 387 392 399
30 356 385 391 400
31 351 384 394 403
32 355 383 386 404
33 350 393 395 401
34 352 389 390 398
28 354 382 388 402
27 345 369 370 375
26 346 373 374 376
25 347 371 372 377
85 341 345 346 347
85 405 408 411 412
85 406 410 414 416
85 407 409 413 415
146 342 1356 1358 1363
147 344 1357 1360 1364
148 343 1359 1361 1362
87 561 1303 1306 1309
88 563 1305 1307 1308
86 562 1302 1304 1310
88 645 872 1067 1068
86 648 870 1060 1065
87 649 871 1059 1066
87 651 878 1064 1075
87 653 873 1063 1073
88 647 877 1069 1071
88 646 875 1070 1074
86 650 876 1062 1076
86 652 874 1061 1072
148 744 781 1210 1211
147 747 780 1203 1209
147 749 782 1206 1214
147 752 785 1208 1220
148 746 788 1212 1215
148 745 786 1213 1219
146 748 787 1207 1216
146 750 783 1205 1218
146 751 784 1204 1217
130 357 972 1192 1193
128 360 969 1189 1190
129 361 971 1185 1191
131 365 970 1196 1199
132 363 974 1187 1200
133 358 975 1197 1202
134 359 973 1198 1201
135 362 977 1186 1195
136 364 976 1188 1194
108 367 636 640 644
109 366 638 639 643
107 368 637 641 642
100 861 957 958 1351
98 864 952 955 1349
99 865 951 956 1350
101 863 962 967 1355
102 868 954 960 1353
103 866 953 961 1352
104 869 963 965 1347
105 867 966 968 1348
106 862 959 964 1354
113 733 844 1047 1335
110 730 843 1045 1333
111 731 849 1041 1334
112 732 850 1046 1329
114 729 855 1056 1339
115 739 846 1053 1336
116 737 845 1051 1337
117 734 854 1044 1343
118 743 851 1048 1331
119 727 857 1055 1340
120 738 853 1057 1330
121 728 852 1049 1344
122 726 860 1052 1345
123 740 856 1043 1338
124 735 858 1050 1332
125 741 848 1054 1346
126 742 847 1058 1342
127 736 859 1042 1341
106 526 715 832 1293
101 525 712 829 1288
102 531 709 830 1289
103 532 708 831 1290
104 533 713 826 1291
105 534 714 825 1292
99 535 710 838 1298
99 542 716 833 1285
100 530 723 841 1295
100 527 721 840 1294
101 529 717 835 1297
102 536 719 842 1286
103 538 718 839 1284
104 541 722 828 1299
105 539 720 827 1300
106 528 725 837 1296
98 537 711 836 1301
98 540 724 834 1287
143 508 770 936 1157
140 507 768 933 1155
141 513 762 934 1156
142 514 769 935 1149
141 515 767 937 1160
141 519 763 941 1161
142 523 779 938 1151
142 520 771 946 1150
143 510 774 950 1158
143 512 778 942 1166
144 516 773 944 1153
144 517 775 939 1152
144 518 772 940 1154
145 521 766 945 1165
145 522 765 949 1162
145 524 764 947 1164
140 511 776 948 1159
140 509 777 943 1163
119 544 600 626 1175
114 543 597 622 1171
115 547 592 623 1172
116 548 591 624 1173
117 549 598 618 1174
118 550 599 625 1167
111 556 605 621 1184
112 552 601 632 1170
113 557 595 629 1178
120 554 608 628 1169
121 546 606 630 1179
122 545 603 634 1177
123 559 602 619 1182
124 560 604 635 1168
125 553 596 633 1181
126 555 593 631 1183
127 551 607 620 1176
110 558 594 627 1180
132 502 690 696 1277
131 501 694 695 1275
129 504 692 703 1282
130 498 706 707 1278
133 499 697 704 1281
134 500 699 702 1283
135 506 693 705 1280
136 503 691 700 1279
128 505 698 701 1276
123 480 921 1140 1262
120 484 915 1137 1261
121 485 919 1138 1258
122 486 920 1139 1257
111 481 928 1148 1263
112 492 918 1145 1269
113 488 932 1134 1272
114 487 929 1143 1260
115 493 924 1135 1266
116 494 923 1133 1265
117 482 931 1142 1268
118 497 917 1147 1271
119 491 927 1144 1259
124 490 916 1141 1264
125 495 925 1131 1270
126 496 926 1132 1267
127 483 922 1146 1273
110 489 930 1136 1274
99 476 585 1114 1130
100 473 582 1122 1123
101 478 584 1117 1128
102 474 590 1116 1121
103 479 589 1115 1119
104 472 586 1124 1127
105 471 588 1120 1125
106 477 583 1118 1129
98 475 587 1113 1126
138 463 672 680 756
137 462 678 679 753
138 464 677 689 758
138 467 674 686 757
139 466 675 683 761
139 468 676 684 760
139 470 673 682 759
137 465 685 688 754
137 469 681 687 755
136 444 814 1030 1245
133 448 811 1024 1243
134 449 812 1023 1244
135 450 813 1029 1239
129 451 817 1031 1240
129 445 824 1038 1246
130 454 822 1027 1254
130 456 819 1026 1255
131 453 808 1032 1247
131 455 810 1039 1250
132 447 815 1033 1256
132 460 821 1037 1241
133 461 818 1028 1248
134 458 816 1025 1249
135 446 820 1040 1253
136 452 823 1036 1242
128 457 809 1035 1252
128 459 807 1034 1251
127 378 660 904 1102
124 382 654 901 1101
125 383 658 902 1096
126 384 659 903 1095
111 379 666 906 1106
112 390 656 911 1112
